하차정류장ID,하차정류장명,위도_y,경도_y,승객수
9049,한남역.용산노인종합복지관,37.53066833333333,127.00773333333332,18
9056,신반포자이아파트,37.509503333333335,127.00802333333334,2
9068,서초중학교,37.48346333333333,127.00877333333334,6
9073,성북청수도서관.정릉4동성당,37.61087666666666,127.009045,1
9110,서초3동주민센터,37.48320666666667,127.01159166666666,5
9130,식유촌우면성당.서초호반써밋,37.45730666666667,127.01425666666668,6
9135,서초동예술의전당,37.48173666666666,127.01286166666664,6
9138,서울교대사거리,37.48783666666667,127.01314,1
9173,래미안신반포리오센트아파트,37.51962666666667,127.013905,1
9187,충무아트센터.스포츠센터.중부소방서,37.56503333333333,127.01473,2
9203,신당동떡볶이타운.중구여성플라자,37.56239333333333,127.01521,7
9222,성동공업고등학교앞,37.568740000000005,127.01611333333334,1
9237,북부성모의원,37.64685333333333,127.01746,1
9239,성북구청.성북경찰서,37.58815166666667,127.01743166666664,2
9264,영동초교,37.52522166666667,126.90678833333337,4
9265,은행나무입구사거리,37.451855,126.906735,10
9274,신대방경남아파트,37.49024833333333,126.90759333333332,57
9279,강남성심병원.대림성모병원,37.49097833333334,126.90799833333334,20
9286,태양의집,37.49614833333333,126.90823666666664,28
9292,태양의집.KT대방지사,37.49509166666667,126.90880833333334,6
9297,관악역,37.4199,126.90944333333331,5
9300,신풍역.백악관웨딩문화원앞,37.50143166666667,126.909775,15
9310,신풍역.백악관웨딩문화원앞,37.501311666666666,126.91004166666669,2
9312,영등포로터리,37.51906333333333,126.90985166666664,3
9325,신길힐스테이트클래시안아파트,37.505001666666665,126.91078,4
9326,신길가마산로교차로,37.50637166666667,126.91090833333334,31
9332,구산중학교.구산교회,37.608955,126.91102,4
9339,구산동주민센터.구산치안센터,37.61138,126.91136333333334,3
9340,안양대교,37.4109,126.911145,3
9345,영등포공원.영등포문화원,37.515015,126.91192,3
9348,신길동홍어거리,37.51082,126.91147666666666,71
9350,북가좌119안전센터,37.58283333333333,126.91254833333332,2
9358,신대방역,37.48659833333333,126.91293833333332,1
9374,새절역.숭실고입구,37.59113333333333,126.91349999999998,1
9377,안양예술공원지하도,37.410315,126.91359166666668,2
9380,북가좌삼호.DMC아이파크아파트,37.57553,126.91305833333332,3
9382,새절역.숭실고입구,37.591681666666666,126.91389166666669,3
9393,DMC센트레빌아파트,37.57530666666666,126.91577166666666,2
9404,신협,37.40709666666667,126.91428833333332,2
9406,응암역신사오거리,37.59903666666666,126.91486666666668,1
9410,난곡우체국사거리,37.47694333333333,126.91545833333332,12
9411,난곡입구,37.48223666666667,126.91572166666668,1
9413,난곡입구,37.48194166666666,126.91613833333334,147
9416,역촌초등학교,37.60267833333333,126.915605,1
9422,역촌초등학교,37.60228166666666,126.91603833333332,3
9425,응암오거리,37.590755,126.91618666666666,3
9426,대신시장,37.51186833333334,126.91647833333332,43
9430,대신시장,37.51206833333333,126.91629833333332,10
9432,응암오거리,37.59075666666667,126.916555,1
