승차정류장ID,승차정류장명,위도_x,경도_x,승객수
9374,새절역.숭실고입구,37.59113333333333,126.91349999999998,7
9400,만안초교,37.40673666666667,126.91501,5
9411,난곡입구,37.48223666666667,126.91572166666668,109
9416,역촌초등학교,37.60267833333333,126.915605,8
9423,안양예술공원,37.41666666666666,126.91463833333334,4
9425,응암오거리,37.590755,126.91618666666666,1
9426,대신시장,37.51186833333334,126.91647833333332,10
9430,대신시장,37.51206833333333,126.91629833333332,50
9432,응암오거리,37.59075666666667,126.916555,1
9439,삼성.세림아파트,37.41376833333334,126.91700833333334,6
9446,구산역4번출구,37.611891666666665,126.91718666666664,7
9447,DMC파크뷰자이별동상가,37.57518833333334,126.91608833333332,3
9457,안양여중고,37.40392666666666,126.91734,4
9459,보라매공원입구,37.489435,126.91780166666668,3
9466,세이브마트앞,37.47386166666667,126.91803666666668,14
9476,호림박물관,37.48272333333333,126.91837666666667,47
9477,은평문화예술정보학교,37.58882166666667,126.91862166666668,2
9482,연가초.연희중.래미안클라시스,37.57895666666666,126.91806666666668,1
9485,한경협회관,37.52189166666667,126.91885833333332,4
9488,은평문화예술정보학교,37.58889333333333,126.91889833333336,1
9489,이마트.은평점,37.60023833333333,126.91813833333332,1
9498,남강중고등학교입구,37.47215333333334,126.91957,19
9519,DMC에코자이아파트,37.576365,126.91950333333334,2
9531,남서울중학교.성보중고등학교,37.482816666666665,126.92101166666669,3
9536,벽산아파트1단지.호압사입구,37.45307833333333,126.92119,3
9542,서울공업고등학교,37.500011666666666,126.92164333333334,35
9558,남부초등학교,37.483405,126.922045,84
9562,연서시장,37.619553333333336,126.922595,6
9578,여의도순복음교회,37.531690000000005,126.92293166666666,3
9584,명지전문대.충암중고등학교,37.58466666666666,126.923595,15
9590,남부시장,37.396033333333335,126.92392833333334,1
9595,공군호텔,37.50993833333334,126.92411166666668,1
9597,명지전문대.충암중고등학교,37.58466833333333,126.92395833333332,7
9612,공군호텔,37.51007333333334,126.92451666666666,12
9617,삼성산주공아파트,37.46109,126.92506833333331,1
9619,백련시장,37.57669666666666,126.92496,11
9623,롯데관악점,37.48973,126.92516166666668,6
9629,명지중고등학교,37.58256,126.92569833333332,1
9633,명지중고등학교,37.58293333333334,126.925685,1
9635,롯데관악점,37.49013,126.92570666666668,10
